Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INVCOnOffN,DefrostN,OU1PcMKS,OU1PeMKS,Tc(Rp),Te(Rp),SHdis,SHsuc,TLiq,TCondTPOut,SCLiq(Rp),ModifySC(Rp),RLI(Rp),CCDI
2020-11-25 18:00:00,760.0,19.0,15.1,14.0,11.0,14.0,32.0,25.6,9.9,43.0,10.0,240.0,0.0,10.0,7.0,15.0,9.0,15.0,55.0,750.0,0.0,0.0,0.0,0.0,2611.827649795,1072.183599795,43.07764542076404,9.494291351226025,11.922355,5.505709,32.0,43.07764542076404,11.077645,0.38096774479853757,0.6701448,
2020-11-26 01:00:00,760.0,19.0,7.1,13.0,10.0,12.0,37.0,25.6,9.5,43.0,9.0,360.0,0.0,10.0,7.0,14.0,9.0,15.0,53.0,750.0,0.0,60.0,0.0,0.0,2611.827649795,1032.956999795,43.07764542076404,8.243829250455633,9.922355,5.756171,37.0,43.07764542076404,6.077645,0.20206518545511912,0.8255246,
2020-11-26 02:00:00,760.0,19.0,7.1,13.0,10.0,10.0,42.0,30.0,9.5,50.0,9.0,140.0,140.0,10.0,1.0,13.0,11.0,15.0,69.0,350.0,0.0,45.0,1.0,0.0,3043.320249795,1032.956999795,49.61218254332624,8.243829250455633,19.387817,4.756171,42.0,49.61218254332624,7.612183,0.20791393659724794,0.8159902,
2020-11-26 04:00:00,760.0,19.0,7.1,12.0,0.0,11.0,42.0,27.4,7.2,46.0,0.0,180.0,0.0,10.0,1.0,11.0,11.0,15.0,67.0,350.0,0.0,60.0,0.0,0.0,2788.347349795,807.4040497950001,45.84443855943209,0.2617237001121566,21.155561,10.738276,42.0,45.84443855943209,3.844439,0.11359145442017075,0.9156602,
2020-11-26 05:00:00,760.0,19.0,7.1,12.0,10.0,11.0,41.0,27.4,9.5,46.0,9.0,220.0,0.0,10.0,1.0,12.0,10.0,15.0,64.0,350.0,0.0,60.0,0.0,0.0,2788.347349795,1032.956999795,45.84443855943209,8.243829250455633,18.155561,3.756171,41.0,45.84443855943209,4.844439,0.14313840637341305,0.8711606,
2020-11-26 06:00:00,760.0,19.0,22.2,12.0,12.0,11.0,33.0,22.7,9.9,38.0,10.0,360.0,0.0,10.0,7.0,11.0,8.0,15.0,55.0,750.0,0.0,60.0,0.0,0.0,2327.434799795,1072.183599795,38.30363455847197,9.494291351226025,16.696365,1.505709,33.0,38.30363455847197,5.303635,0.20163126081341431,0.8159057,
2020-11-26 07:00:00,760.0,19.0,22.2,12.0,9.0,11.0,35.0,24.4,9.2,41.0,8.0,240.0,0.0,10.0,7.0,12.0,9.0,15.0,57.0,790.0,0.0,60.0,0.0,0.0,2494.1478497949997,1003.5370497949999,41.15266006868552,7.2823232153630215,15.84734,4.717677,35.0,41.15266006868552,6.15266,0.21104969445340294,0.8183467,
2020-11-26 10:00:00,760.0,19.0,7.1,11.0,10.0,11.0,34.0,28.6,9.5,48.0,9.0,160.0,0.0,10.0,7.0,11.0,11.0,15.0,58.0,750.0,0.0,59.0,1.0,1.0,2906.0271497950002,1032.956999795,47.61508484535182,8.243829250455633,10.384915,2.756171,34.0,47.61508484535182,13.615085,0.37184360100502123,0.6541872,
2020-11-26 11:00:00,760.0,19.0,7.1,12.0,9.0,11.0,34.0,25.6,9.2,43.0,8.0,220.0,0.0,10.0,7.0,12.0,9.0,15.0,58.0,750.0,0.0,60.0,0.0,0.0,2611.827649795,1003.5370497949999,43.07764542076404,7.2823232153630215,14.922355,4.717677,34.0,43.07764542076404,9.077645,0.29209564872424065,0.7464013,
2020-11-26 12:00:00,760.0,19.0,22.2,12.0,8.0,11.0,29.0,22.7,8.9,38.0,7.0,260.0,0.0,10.0,7.0,12.0,8.0,16.0,53.0,750.0,0.0,16.0,0.0,0.0,2327.434799795,974.1170997950001,38.30363455847197,6.299359427382285,14.696365,5.700641,29.0,38.30363455847197,9.303635,0.35370150004625317,0.7093003,
2020-11-26 14:00:00,760.0,19.0,7.1,12.0,10.0,11.0,40.0,30.8,9.5,51.0,9.0,200.0,0.0,10.0,7.0,13.0,12.0,15.0,68.0,790.0,0.0,60.0,0.0,0.0,3121.773449795,1032.956999795,50.722175177598615,8.243829250455633,17.277825,4.756171,40.0,50.722175177598615,10.722175,0.2769001212050439,0.7475849,
2020-11-26 15:00:00,760.0,19.0,7.1,12.0,10.0,11.0,40.0,27.4,9.5,46.0,9.0,220.0,0.0,10.0,7.0,13.0,10.0,15.0,62.0,750.0,0.0,45.0,1.0,0.0,2788.347349795,1032.956999795,45.84443855943209,8.243829250455633,16.155561,4.756171,40.0,45.84443855943209,5.844439,0.1726853583266553,0.8445653,
2020-11-26 16:00:00,760.0,19.0,22.2,11.0,11.0,11.0,30.0,21.5,9.9,36.0,10.0,300.0,0.0,10.0,7.0,11.0,8.0,15.0,53.0,750.0,0.0,60.0,0.0,0.0,2209.754999795,1072.183599795,36.19792020308063,9.494291351226025,16.80208,1.505709,30.0,36.19792020308063,6.19792,0.24596950661198852,0.7678997,
2020-11-26 17:00:00,760.0,19.0,22.2,11.0,8.0,10.0,30.0,23.2,8.9,39.0,7.0,260.0,0.0,10.0,7.0,12.0,8.0,16.0,54.0,750.0,0.0,1.0,0.0,0.0,2376.468049795,974.1170997950001,39.15724672182836,6.299359427382285,14.842753,5.700641,30.0,39.15724672182836,9.157247,0.3252181255669796,0.7213075,
2020-11-27 00:00:00,760.0,19.0,7.1,12.0,9.0,12.0,41.0,28.0,9.2,47.0,8.0,220.0,0.0,10.0,7.0,13.0,11.0,15.0,61.0,750.0,0.0,60.0,0.0,0.0,2847.1872497950003,1003.5370497949999,46.73680772378418,7.2823232153630215,14.263192,5.717677,41.0,46.73680772378418,5.736808,0.1651506967945136,0.8545968,
2020-11-27 01:00:00,760.0,19.0,22.2,12.0,8.0,11.0,29.0,23.2,9.2,39.0,8.0,220.0,0.0,10.0,7.0,12.0,8.0,15.0,54.0,790.0,0.0,59.0,1.0,1.0,2376.468049795,1003.5370497949999,39.15724672182836,7.2823232153630215,14.842753,4.717677,29.0,39.15724672182836,10.157247,0.37401608138117487,0.6813405,
2020-11-27 03:00:00,760.0,19.0,7.1,12.0,8.0,11.0,36.0,25.0,8.9,42.0,7.0,240.0,0.0,10.0,7.0,12.0,9.0,15.0,57.0,790.0,0.0,60.0,0.0,0.0,2552.987749795,974.1170997950001,42.123610354308255,6.299359427382285,14.87639,5.700641,36.0,42.123610354308255,6.12361,0.20328273828984136,0.8290652,
2020-11-27 04:00:00,760.0,19.0,7.1,12.0,9.0,11.0,36.0,25.0,9.2,42.0,8.0,220.0,0.0,10.0,7.0,12.0,9.0,15.0,57.0,790.0,0.0,60.0,0.0,0.0,2552.987749795,1003.5370497949999,42.123610354308255,7.2823232153630215,14.87639,4.717677,36.0,42.123610354308255,6.12361,0.20328273828984136,0.8242427,
2020-11-27 05:00:00,760.0,19.0,7.1,11.0,9.0,11.0,36.0,27.4,9.2,46.0,8.0,200.0,0.0,10.0,7.0,12.0,10.0,15.0,61.0,790.0,0.0,57.0,1.0,0.0,2788.347349795,1003.5370497949999,45.84443855943209,7.2823232153630215,15.155561,4.717677,36.0,45.84443855943209,9.844439,0.28252540167088425,0.7447122,
2020-11-27 06:00:00,760.0,19.0,7.1,11.0,9.0,10.0,40.0,27.4,9.2,46.0,8.0,200.0,0.0,10.0,7.0,12.0,10.0,15.0,64.0,790.0,0.0,60.0,0.0,0.0,2788.347349795,1003.5370497949999,45.84443855943209,7.2823232153630215,18.155561,4.717677,40.0,45.84443855943209,5.844439,0.16772946391520951,0.8484409,
2020-11-27 07:00:00,760.0,19.0,7.1,11.0,9.0,10.0,41.0,26.8,9.2,45.0,8.0,220.0,0.0,10.0,7.0,12.0,10.0,15.0,63.0,790.0,0.0,60.0,0.0,0.0,2729.507449795,1003.5370497949999,44.937479651873446,7.2823232153630215,18.06252,4.717677,41.0,44.937479651873446,3.93748,0.11602157969272299,0.8954332,
2020-11-27 08:00:00,760.0,19.0,7.1,11.0,8.0,10.0,40.0,26.8,8.9,45.0,7.0,220.0,0.0,10.0,7.0,12.0,10.0,15.0,62.0,790.0,0.0,1.0,0.0,0.0,2729.507449795,974.1170997950001,44.937479651873446,6.299359427382285,17.06252,5.700641,40.0,44.937479651873446,4.93748,0.14548752737822818,0.8722122,
2020-11-27 10:00:00,760.0,19.0,8.0,11.0,5.0,9.0,35.0,26.8,8.2,45.0,4.0,220.0,0.0,10.0,8.0,11.0,10.0,15.0,61.0,800.0,0.0,53.0,2.0,0.0,2729.507449795,905.4705497949999,44.937479651873446,3.9156327252940173,16.06252,7.084367,35.0,44.937479651873446,9.93748,0.2928172658057542,0.7577515,
2020-11-27 11:00:00,760.0,19.0,15.1,11.0,9.0,10.0,34.0,26.8,9.5,45.0,9.0,220.0,0.0,10.0,7.0,12.0,10.0,15.0,61.0,790.0,0.0,58.0,1.0,1.0,2729.507449795,1032.956999795,44.937479651873446,8.243829250455633,16.06252,3.756171,34.0,44.937479651873446,10.93748,0.3222832134912594,0.7019245,
2020-11-27 12:00:00,760.0,19.0,29.3,12.0,8.0,10.0,31.0,21.5,8.9,36.0,7.0,360.0,0.0,10.0,7.0,11.0,8.0,15.0,50.0,790.0,0.0,60.0,0.0,0.0,2209.754999795,974.1170997950001,36.19792020308063,6.299359427382285,13.80208,4.700641,31.0,36.19792020308063,5.19792,0.21480854372510305,0.8261481,
2020-11-27 13:00:00,760.0,19.0,22.2,11.0,7.0,10.0,29.0,22.1,8.7,37.0,6.0,260.0,0.0,10.0,7.0,11.0,8.0,15.0,53.0,790.0,0.0,60.0,0.0,0.0,2268.5948997950004,954.503799795,37.26111536149989,5.631561393210063,15.738885,5.368439,29.0,37.26111536149989,8.261115,0.314575938084915,0.7388166,
